"Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zona","TipoProteccion","ANP","BuzoMonitor","HoraInicial","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Sexo","Talla","ClaseTalla","Abundancia","RC"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,43,NA,18,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,45,NA,11,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,54,NA,8,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Scarus","coeruleus","Scarus coeruleus",NA,67,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,37,NA,9,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,38,NA,10,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Epinephelus","guttatus","Epinephelus guttatus",NA,44,NA,12,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,25,NA,9,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,29,NA,10,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,30,NA,16,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Muraena","lentiginosa","Muraena lentiginosa",NA,31,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,30,NA,12,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,43,NA,25,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,45,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,46,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,25,NA,15,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,34,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sparisoma","viride","Sparisoma viride",NA,38,NA,16,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,10,NA,17,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Catalina Milagros","6:50",11,10.5,26,6,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,12,NA,18,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,47,NA,11,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,33,NA,19,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Cristobal Libertad","13:40",24,25.7,25,6,NA,7,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,40,NA,10,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,41,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,42,NA,10,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,18,NA,21,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,19,NA,19,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,26,NA,6,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Wagner Quiros","10:20",7,6.7,27,8,NA,12,"Haemulon","sciurus","Haemulon sciurus",NA,31,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,33,NA,14,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,39,NA,22,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,42,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,54,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mugil","curema","Mugil curema",NA,27,NA,17,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mugil","curema","Mugil curema",NA,32,NA,10,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mugil","curema","Mugil curema",NA,46,NA,4,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mugil","curema","Mugil curema",NA,49,NA,8,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mycteroperca","rosacea","Mycteroperca rosacea",NA,30,NA,9,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Mycteroperca","rosacea","Mycteroperca rosacea",NA,43,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,40,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Pseudobalistes","naufragium","Pseudobalistes naufragium",NA,53,NA,10,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Pseudobalistes","naufragium","Pseudobalistes naufragium",NA,55,NA,15,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Pseudobalistes","naufragium","Pseudobalistes naufragium",NA,63,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Scarus","coeruleus","Scarus coeruleus",NA,53,NA,15,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Scarus","coeruleus","Scarus coeruleus",NA,54,NA,10,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,11,NA,29,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,12,NA,21,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,14,NA,9,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Trachinotus","rhodopus","Trachinotus rhodopus",NA,25,NA,18,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Trachinotus","rhodopus","Trachinotus rhodopus",NA,26,NA,17,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Camila Vargas","8:40",26,26.2,26,9,NA,8,"Trachinotus","rhodopus","Trachinotus rhodopus",NA,35,NA,12,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Cristobal Libertad","13:40",25,26.3,25,10,NA,4,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,45,NA,9,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Cristobal Libertad","13:40",25,26.3,25,10,NA,4,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,47,NA,6,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Cristobal Libertad","13:40",25,26.3,25,10,NA,4,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,51,NA,15,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Cristobal Libertad","13:40",25,26.3,25,10,NA,4,"Muraena","lentiginosa","Muraena lentiginosa",NA,25,NA,14,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Cristobal Libertad","13:40",25,26.3,25,10,NA,4,"Muraena","lentiginosa","Muraena lentiginosa",NA,28,NA,16,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,29,NA,5,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,44,NA,12,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,21,NA,19,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,22,NA,17,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,27,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Haemulon","sciurus","Haemulon sciurus",NA,28,NA,16,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,37,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,39,NA,7,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,42,NA,10,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Muraena","lentiginosa","Muraena lentiginosa",NA,33,NA,15,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Scarus","coeruleus","Scarus coeruleus",NA,46,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Scarus","coeruleus","Scarus coeruleus",NA,60,NA,7,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sparisoma","viride","Sparisoma viride",NA,25,NA,10,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sparisoma","viride","Sparisoma viride",NA,33,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sparisoma","viride","Sparisoma viride",NA,34,NA,9,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sparisoma","viride","Sparisoma viride",NA,42,NA,6,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sparisoma","viride","Sparisoma viride",NA,47,NA,15,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,9,NA,17,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,15,NA,8,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Diana Flores","8:40",24,22.8,27,5,NA,1,"Sphoeroides","lobatus","Sphoeroides lobatus",NA,16,NA,14,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,26,NA,14,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,28,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Cirrhitus","rivulatus","Cirrhitus rivulatus",NA,32,NA,24,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Epinephelus","guttatus","Epinephelus guttatus",NA,30,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Epinephelus","guttatus","Epinephelus guttatus",NA,37,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Epinephelus","guttatus","Epinephelus guttatus",NA,38,NA,11,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Epinephelus","guttatus","Epinephelus guttatus",NA,39,NA,24,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,33,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,35,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Haemulon","sexfasciatum","Haemulon sexfasciatum",NA,36,NA,12,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,42,NA,18,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,43,NA,14,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,48,NA,12,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Mycteroperca","rosacea","Mycteroperca rosacea",NA,40,NA,22,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Mycteroperca","rosacea","Mycteroperca rosacea",NA,42,NA,13,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Mycteroperca","rosacea","Mycteroperca rosacea",NA,43,NA,8,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,55,NA,12,"Cerro prieto - Popotla"
1,4,2000,NA,"Las Positas","Cerro prieto",NA,NA,NA,"Reserva",NA,NA,"Gonzalo Banda","13:40",11,9.4,26,5,NA,2,"Pseudobalistes","naufragium","Pseudobalistes naufragium",NA,40,NA,11,"Cerro prieto - Popotla"
