Ano,Comunidad,GeneroEspecie,NombreComun,Arribos,Ingresos,PrecioPromedio,CPI
2008,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,147.093,23552.275,137.6984127,5.124982
2008,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,49.879,997.58,20,5.124982
2008,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.011,0.1,10,5.124982
2009,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,10.911,55.819,5.25,5.297357
2009,Isla Natividad,Gelidium robustum,Alga gelidium seca,275.778,259.506,5.642857143,5.297357
2009,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,193.396,602.198,21.66666667,5.297357
2009,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,123.429,24685.8,200,5.297357
2009,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,59.794,1195.88,20,5.297357
2009,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,4.3241,21.263,5.846153846,5.297357
2009,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,10.2487,93.17,10,5.297357
2010,Isla Natividad,Gelidium robustum,Alga gelidium seca,25.806,21.505,5,4.156728
2010,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,278.663,875.798,22,4.156728
2010,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,76.413,15282.6,200,4.156728
2010,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,37.512,1125.36,30,4.156728
2010,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,1.6896,9.216,6,4.156728
2010,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,2.3672,23.908,10.6,4.156728
2011,Isla Natividad,Gelidium robustum,Alga gelidium seca,312.852,260.71,5,3.40738
2011,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,389.053,1222.738,22,3.40738
2011,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,123.264,24652.8,200,3.40738
2011,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,39.622,792.44,20,3.40738
2011,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.2297,12.162,6,3.40738
2011,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.2167,1.97,10,3.40738
2012,Isla Natividad,Gelidium robustum,Alga gelidium seca,156.912,130.76,5,4.111508
2012,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,395.563,1243.198,22,4.111508
2012,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,173.282,34597.672,199.483871,4.111508
2012,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,51.204,1024.08,20,4.111508
2012,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,6.4823,59.94,9.80952381,4.111508
2012,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,1.2287,13.58,11.8,4.111508
2013,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,6.155,30.775,5,3.80639
2013,Isla Natividad,Gelidium robustum,Alga gelidium seca,796.626,663.855,5,3.80639
2013,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,204.946,644.116,22,3.80639
2013,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,131.47,26294,200,3.80639
2013,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,27.104,542.08,20,3.80639
2013,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.5806,27.57,11.5,3.80639
2013,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.22,2,10,3.80639
2014,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,51.023,269.91167,5.29,4.018617
2014,Isla Natividad,Gelidium robustum,Alga gelidium seca,345.522,304.63523,5.29,4.018617
2014,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,259.567,815.782,22,4.018617
2014,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,176.22978,35009.778,199.122807,4.018617
2014,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,28.992,579.84,20,4.018617
2014,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.5267,20.412,10.5,4.018617
2014,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.0044,0.048,12,4.018617
